"type","sqft","sqm","price","payment_method","governorate","city","area","down_payment","bedroomscc","bathroomscc","posted_date","month","day"
"Chalet","1238","115","","","North Coast","Ras Al Hekma","Ogami","","2","2","2025-07-30","7","30"
"Townhouse","2508","233",23900000,"Installments","Giza","6 October City","6th District",2390000,"3","3","2025-09-02","9","2"
"Apartment","1313","122",5200000,"Cash","Cairo","New Cairo City","","","2","2","2025-05-04","5","4"
"Apartment","861","80",1450000,"Cash","Giza","6 October City","Al Wahat Road","","1","1","2025-08-01","8","1"
"Townhouse","2863","266",20000000,"Cash","Cairo","New Cairo City","","","4","4","2025-09-02","9","2"
"Apartment","2207","205",9000000,"Cash","Giza","6 October City","6 October Compounds","","5","5","2025-09-02","9","2"
"Duplex","2325","216",32294000,"Cash","Cairo","New Cairo City","","","3","3","2025-09-02","9","2"
"Chalet","700","65",3800000,"Installments","North Coast","Ras Al Hekma","Hacienda West","","2","2","2025-07-06","7","6"
"Penthouse","1561","145",8000000,"Cash","North Coast","Ras Al Hekma","Gaia","","2","2","2025-08-26","8","26"
"Chalet","689","64",6500000,"Installments","North Coast","Sidi Abdel Rahman","Plage","","1","1","2025-09-01","9","1"
"Cabin","538","50",13000000,"Cash","North Coast","Ras Al Hekma","Solare",4000000,"1","1","2025-09-02","9","2"
"Villa","1938","180",15000000,"Installments","North Coast","Ras Al Hekma","Naia bay","","3","3","2025-09-01","9","1"
"Chalet","1119","104",4950000,"Installments","North Coast","Sidi Abdel Rahman","Amwaj","","2","2","2025-08-19","8","19"
"iVilla","2476","230",7650000,"Cash","Cairo","New Cairo City","","","4","4","2025-09-02","9","2"
"Apartment","1087","101","","","North Coast","Sidi Abdel Rahman","Bianchi","","2","2","2025-08-13","8","13"
"Apartment","2045","190",3000000,"Cash","Giza","Sheikh Zayed City","Sheikh Zayed Compounds","","3","3","2025-09-01","9","1"
"Apartment","2002","186",19617000,"Cash","Cairo","New Cairo City","","","3","3","","",""
"Chalet","1604","149",12700000,"Cash","North Coast","Sidi Abdel Rahman","Playa Resort","","2","2","2025-08-07","8","7"
"Apartment","1722","160",10700000,"Installments","Cairo","Madinaty","",5250000,"2","2","2025-08-16","8","16"
"Twin House","4650","432",61000000,"Cash","North Coast","Sidi Abdel Rahman","Marassi","","4","4","2025-08-26","8","26"
"Townhouse","2530","235",32250000,"Installments","Cairo","New Cairo City","",1750000,"4","4","2025-08-31","8","31"
"Twin House","4306","400",21000000,"Cash","Giza","6 October City","26th of July Corridor","","5","5","2025-08-20","8","20"
"Apartment","1507","140",4900000,"Cash","Cairo","New Cairo City","","","2","2","2025-08-21","8","21"
"Apartment","861","80",4800000,"Cash","Red Sea","Hurghada","Hurghada Resorts",720000,"1","1","2025-08-25","8","25"
"Villa","8073","750",40000000,"Cash","Giza","Sheikh Zayed City","4th District","","7","7","2025-08-30","8","30"
"Townhouse","2530","235",7770000,"Cash","Cairo","New Cairo City","","","4","4","2025-08-21","8","21"
"Apartment","2336","217",19000000,"Cash","Cairo","Mokattam","Uptown Cairo","","3","3","2025-08-10","8","10"
"Villa","4392","408","","","Cairo","New Heliopolis","6th District","","5","5","2025-08-03","8","3"
"Land","102257","9500","","","Giza","6 October City","Green Belt","","","","2025-08-24","8","24"
"Apartment","2056","191",13500000,"Cash","Cairo","New Cairo City","","","4","4","2025-09-02","9","2"
"Villa","5081","472",53500000,"Cash","Cairo","Mokattam","Uptown Cairo","","5","5","2025-09-01","9","1"
"Apartment","2099","195",18560000,"Cash","Cairo","New Cairo City","","","3","3","2025-08-26","8","26"
"Cabin","710","66",22030000,"Installments","North Coast","Sidi Abdel Rahman","Zoya",4000000,"1","1","2025-08-31","8","31"
"Apartment","1668","155",5150000,"Cash","Giza","Sheikh Zayed City","Sheikh Zayed Compounds","","2","2","2025-07-27","7","27"
"Villa","4489","417",14500000,"Cash","Cairo","Shorouk City","5th District","","5","5","2025-08-28","8","28"
"Duplex","2799","260",12480000,"Cash","Cairo","New Cairo City","","","3","3","2025-09-01","9","1"
"Townhouse","2422","225",14825000,"Cash","Cairo","New Cairo City","","","4","4","2025-08-01","8","1"
"Villa","4306","400",24000000,"Installments","Red Sea","Hurghada","",800000,"4","4","2025-09-01","9","1"
"Villa","3724","346",124900000,"Installments","North Coast","Qesm Marsa Matrouh","Silver Sands",6248400,"5","5","2025-09-02","9","2"
"Chalet","721","67",6560000,"Cash","North Coast","Ras Al Hekma","Seashore","","1","1","2025-09-02","9","2"
"Apartment","1076","100",4000000,"Cash","Suez","Al Ain Al Sokhna","Porto Sokhna","","2","2","2025-08-11","8","11"
"Apartment","1249","116",20000000,"Cash","North Coast","Ras Al Hekma","June","","2","2","2025-09-01","9","1"
"Chalet","710","66",11500000,"Cash","North Coast","Sidi Abdel Rahman","Marassi","","1","1","2025-08-19","8","19"
